pp_dim_A_vals,pp_dim_B_vals,pp_dim_AB_vals,min_pp_dim_A_pp_dim_B_vals,max_pp_dim_A_pp_dim_B_vals,nu_over_d_A_vals,nu_over_d_B_vals,nu_over_d_AB_vals,min_nu_over_d_A_nu_over_d_B_vals,max_nu_over_d_A_nu_over_d_B_vals,nu_over_d_A_times_nu_over_d_B_vals
674.2454685166466,826.3618805828569,625.5191913841787,674.2454685166466,826.3618805828569,0.7393042417945687,0.6471118876921353,0.48983491885996766,0.6471118876921353,0.7393042417945687,0.4784125634864862
294.5525009168397,563.5069636997719,293.60995234631025,294.5525009168397,563.5069636997719,0.5204107790050171,0.5449777211796633,0.2839554664857933,0.5204107790050171,0.5449777211796633,0.28361228041948755
691.0114366717999,896.7888640212145,684.9482126389585,691.0114366717999,896.7888640212145,0.7610258113125549,0.8101073749062462,0.6187427395112542,0.7610258113125549,0.8101073749062462,0.61651262223831
419.6310262496096,727.0212208735267,418.4472734929562,419.6310262496096,727.0212208735267,0.5740506515042539,0.6700656413580891,0.3856656898552592,0.5740506515042539,0.6700656413580891,0.3846516179722268
392.4266957990288,620.9436809525658,387.01346141209365,392.4266957990288,620.9436809525658,0.6199473867283235,0.6605783839920913,0.41171644831073795,0.6199473867283235,0.6605783839920913,0.40952384288511606
6.361533770371702,704.7256695743052,6.3702307152239515,6.361533770371702,704.7256695743052,0.00898521718979054,0.6138725344723913,0.005548981459254313,0.00898521718979054,0.6138725344723913,0.005515778049081616
589.3579996962021,763.0444268888403,585.8045777344477,589.3579996962021,763.0444268888403,0.7653999996054572,0.7386683706571543,0.5670905883198912,0.7386683706571543,0.7653999996054572,0.5653767706095496
501.6139856270451,688.4951109692843,497.9663197123994,501.6139856270451,688.4951109692843,0.7207097494641452,0.5795413391997343,0.419163568781481,0.5795413391997343,0.7207097494641452,0.4176810933787557
948.2641886069448,826.1531007385134,779.0204573188945,826.1531007385134,948.2641886069448,0.9333308942981741,0.5674128439138142,0.5350415228838561,0.5674128439138142,0.9333308942981741,0.5295839370463504
186.17823032389006,312.797275872268,120.07453064409866,186.17823032389006,312.797275872268,0.1761383446772848,0.21163550464970773,0.08124122506366621,0.1761383446772848,0.21163550464970773,0.03727712746394134
280.10211662113977,1155.5339479436332,278.50521538170216,280.10211662113977,1155.5339479436332,0.23899498005216704,0.7667776695047334,0.1848077076189132,0.23899498005216704,0.7667776695047334,0.18325601382773088
139.05639889646793,276.520323739083,139.1655758395701,139.05639889646793,276.520323739083,0.5002028737283019,0.4624085681255568,0.23271835424677273,0.4624085681255568,0.5002028737283019,0.23129809461299275
10.961500513229996,394.2887747055889,8.216267680456552,10.961500513229996,394.2887747055889,0.014235714952246748,0.5061473359506917,0.01054719856284538,0.014235714952246748,0.5061473359506917,0.00720536919843312
741.024158312853,524.0240958970259,454.8993032332,524.0240958970259,741.024158312853,0.8002420716121523,0.4263825027640568,0.3701377569025224,0.4263825027640568,0.8002420716121523,0.3412092173110831
30.795011132781337,753.5494267961652,30.635269806586496,30.795011132781337,753.5494267961652,0.03661713571079826,0.8823763779814581,0.03587268127234953,0.03661713571079826,0.8823763779814581,0.032310095580549675
1.1666478315685547,396.24627900896246,1.163443422838854,1.1666478315685547,396.24627900896246,0.002719458814845116,0.7664338085279738,0.002250374125413644,0.002719458814845116,0.7664338085279738,0.002084285176596712
181.9565168178575,611.291621256489,181.24939386168958,181.9565168178575,611.291621256489,0.2953839558731453,0.756549036208526,0.2243185567595168,0.2953839558731453,0.756549036208526,0.22347244712728986
4.934607622200556,601.608458794033,5.012122843302224,4.934607622200556,601.608458794033,0.006375462044186765,0.6034187149388496,0.005027204456672241,0.006375462044186765,0.6034187149388496,0.0038470731138445886
526.420440287701,628.1599859331922,486.3097503591382,526.420440287701,628.1599859331922,0.7574394824283468,0.784219707781763,0.6071282776019203,0.7574394824283468,0.784219707781763,0.5939989695723279
4.921949021254641,699.1895245138878,4.902654861624954,4.921949021254641,699.1895245138878,0.006971599180247368,0.6991895245138878,0.004902654861624954,0.006971599180247368,0.6991895245138878,0.004874469115938567
297.493057276659,240.81397805201837,226.9598061788331,240.81397805201837,297.493057276659,0.9355127587316321,0.7082764060353481,0.6675288417024503,0.7082764060353481,0.9355127587316321,0.6626016145546542
942.871340950723,1055.9264228840393,898.810238376628,942.871340950723,1055.9264228840393,0.8448667929665977,0.894095192958543,0.7610586269065437,0.8448667929665977,0.894095192958543,0.7553913382817355
