value_type,layer_index,values
layer_pp_dim,0,386.47027587890625
layer_pp_dim,0,386.0544738769531
layer_pp_dim,0,385.5523681640625
layer_pp_dim,0,386.1791687011719
layer_pp_dim,0,386.2052917480469
layer_pp_dim,0,386.25946044921875
layer_pp_dim,0,386.0332336425781
layer_pp_dim,0,385.91790771484375
layer_pp_dim,0,386.1274108886719
layer_pp_dim,0,386.079345703125
layer_pp_dim,0,387.2863464355469
layer_pp_dim,0,385.0533142089844
layer_pp_dim,0,385.79168701171875
layer_pp_dim,0,386.3210144042969
layer_pp_dim,0,386.4330139160156
layer_pp_dim,0,386.405029296875
layer_pp_dim,0,385.52789306640625
layer_pp_dim,0,386.3113708496094
layer_pp_dim,0,386.20343017578125
layer_pp_dim,0,386.33770751953125
layer_pp_dim,0,385.38189697265625
layer_pp_dim,0,387.028564453125
layer_pp_dim,0,383.78759765625
layer_pp_dim,0,386.46282958984375
layer_pp_dim,0,386.7445068359375
layer_pp_dim,0,386.4684143066406
layer_pp_dim,0,386.8536682128906
layer_pp_dim,0,385.30670166015625
layer_pp_dim,0,386.79461669921875
layer_pp_dim,0,385.10772705078125
layer_pp_dim,0,386.15936279296875
layer_pp_dim,0,386.92041015625
layer_pp_dim,0,386.2762451171875
layer_pp_dim,0,386.4646911621094
layer_pp_dim,0,385.3004455566406
layer_pp_dim,0,386.1374206542969
layer_pp_dim,0,386.7033996582031
layer_pp_dim,0,386.7865295410156
layer_pp_dim,0,386.0067443847656
layer_pp_dim,0,386.8519592285156
layer_pp_dim,0,386.55389404296875
layer_pp_dim,0,385.4865417480469
layer_pp_dim,0,386.1468200683594
layer_pp_dim,0,386.82952880859375
layer_pp_dim,0,385.2282409667969
layer_pp_dim,0,385.9885559082031
layer_pp_dim,0,386.01824951171875
layer_pp_dim,0,386.9537658691406
layer_pp_dim,0,386.6594543457031
layer_pp_dim,0,386.00177001953125
layer_pp_dim,0,386.23779296875
layer_pp_dim,0,386.56988525390625
layer_pp_dim,0,385.8240966796875
layer_pp_dim,0,386.6540832519531
layer_pp_dim,0,386.97149658203125
layer_pp_dim,0,386.8976135253906
layer_pp_dim,0,385.85498046875
layer_pp_dim,0,386.7404479980469
layer_pp_dim,0,385.955078125
layer_pp_dim,0,387.123046875
layer_pp_dim,0,385.2109375
layer_pp_dim,0,385.7945861816406
layer_pp_dim,0,385.4319152832031
layer_pp_dim,0,385.66015625
layer_pp_dim,0,386.1640930175781
layer_pp_dim,0,386.8099060058594
layer_pp_dim,0,385.421875
layer_pp_dim,0,385.3666076660156
layer_pp_dim,0,385.2646789550781
layer_pp_dim,0,386.962158203125
layer_pp_dim,0,387.069091796875
layer_pp_dim,0,386.7304992675781
layer_pp_dim,0,386.3056640625
layer_pp_dim,0,386.53631591796875
layer_pp_dim,0,386.1855163574219
layer_pp_dim,0,386.3551025390625
layer_pp_dim,0,386.4889221191406
layer_pp_dim,0,385.7840881347656
layer_pp_dim,0,385.6346740722656
layer_pp_dim,0,386.1214599609375
layer_pp_dim,0,386.37054443359375
layer_pp_dim,0,386.4065856933594
layer_pp_dim,0,385.8383483886719
layer_pp_dim,0,385.00537109375
layer_pp_dim,0,385.99676513671875
layer_pp_dim,0,386.61590576171875
layer_pp_dim,0,385.4846496582031
layer_pp_dim,0,386.3923645019531
layer_pp_dim,0,386.7613525390625
layer_pp_dim,0,385.8730773925781
layer_pp_dim,0,385.52423095703125
layer_pp_dim,0,385.24853515625
layer_pp_dim,0,385.7261962890625
layer_pp_dim,0,386.1445007324219
layer_pp_dim,0,385.49517822265625
layer_pp_dim,0,386.57763671875
layer_pp_dim,0,386.80657958984375
layer_pp_dim,0,384.8749084472656
layer_pp_dim,0,386.4296875
layer_pp_dim,0,384.7801208496094
layer_pp_dim,1,372.4246520996094
layer_pp_dim,1,371.9364318847656
layer_pp_dim,1,370.2208557128906
layer_pp_dim,1,371.04779052734375
layer_pp_dim,1,371.9548645019531
layer_pp_dim,1,371.7159729003906
layer_pp_dim,1,371.45037841796875
layer_pp_dim,1,370.83538818359375
layer_pp_dim,1,371.4876708984375
layer_pp_dim,1,371.298583984375
layer_pp_dim,1,373.62054443359375
layer_pp_dim,1,370.26788330078125
layer_pp_dim,1,371.8507995605469
layer_pp_dim,1,371.1269836425781
layer_pp_dim,1,371.4710388183594
layer_pp_dim,1,371.8653259277344
layer_pp_dim,1,370.81243896484375
layer_pp_dim,1,372.0252685546875
layer_pp_dim,1,371.3534851074219
layer_pp_dim,1,372.3303527832031
layer_pp_dim,1,370.2599182128906
layer_pp_dim,1,372.5565185546875
layer_pp_dim,1,368.507080078125
layer_pp_dim,1,372.0511474609375
layer_pp_dim,1,371.8824157714844
layer_pp_dim,1,371.6376037597656
layer_pp_dim,1,372.1480407714844
layer_pp_dim,1,370.2565002441406
layer_pp_dim,1,372.3408203125
layer_pp_dim,1,369.7187194824219
layer_pp_dim,1,371.3647155761719
layer_pp_dim,1,372.712646484375
layer_pp_dim,1,371.7217712402344
layer_pp_dim,1,371.9559020996094
layer_pp_dim,1,370.39276123046875
layer_pp_dim,1,370.8019104003906
layer_pp_dim,1,372.0200500488281
layer_pp_dim,1,372.7100830078125
layer_pp_dim,1,372.1784362792969
layer_pp_dim,1,372.5648498535156
layer_pp_dim,1,372.2572326660156
layer_pp_dim,1,370.0780029296875
layer_pp_dim,1,371.5432434082031
layer_pp_dim,1,371.9195251464844
layer_pp_dim,1,370.1150817871094
layer_pp_dim,1,371.275634765625
layer_pp_dim,1,371.35369873046875
layer_pp_dim,1,372.10595703125
layer_pp_dim,1,371.5873107910156
layer_pp_dim,1,371.5717468261719
layer_pp_dim,1,371.3918762207031
layer_pp_dim,1,371.9763488769531
layer_pp_dim,1,370.88043212890625
layer_pp_dim,1,372.5834045410156
layer_pp_dim,1,372.4725341796875
layer_pp_dim,1,372.5932922363281
layer_pp_dim,1,370.4924621582031
layer_pp_dim,1,371.9781799316406
layer_pp_dim,1,371.5706481933594
layer_pp_dim,1,372.619140625
layer_pp_dim,1,370.7716064453125
layer_pp_dim,1,371.22064208984375
layer_pp_dim,1,371.1463317871094
layer_pp_dim,1,370.6972351074219
layer_pp_dim,1,371.1255798339844
layer_pp_dim,1,372.5871276855469
layer_pp_dim,1,370.80511474609375
layer_pp_dim,1,370.1006164550781
layer_pp_dim,1,369.3627014160156
layer_pp_dim,1,372.5295715332031
layer_pp_dim,1,372.4256286621094
layer_pp_dim,1,372.01007080078125
layer_pp_dim,1,371.3022155761719
layer_pp_dim,1,371.9442443847656
layer_pp_dim,1,371.18402099609375
layer_pp_dim,1,371.8578796386719
layer_pp_dim,1,371.64678955078125
layer_pp_dim,1,371.1171875
layer_pp_dim,1,370.32879638671875
layer_pp_dim,1,372.1595153808594
layer_pp_dim,1,371.0503845214844
layer_pp_dim,1,371.7045593261719
layer_pp_dim,1,370.9231262207031
layer_pp_dim,1,370.0125427246094
layer_pp_dim,1,371.00762939453125
layer_pp_dim,1,371.6064758300781
layer_pp_dim,1,370.49285888671875
layer_pp_dim,1,371.879638671875
layer_pp_dim,1,371.9258117675781
layer_pp_dim,1,371.3081359863281
layer_pp_dim,1,370.5129089355469
layer_pp_dim,1,370.57403564453125
layer_pp_dim,1,371.08367919921875
layer_pp_dim,1,370.9722900390625
layer_pp_dim,1,370.4161682128906
layer_pp_dim,1,372.7767028808594
layer_pp_dim,1,372.6813659667969
layer_pp_dim,1,370.64129638671875
layer_pp_dim,1,371.43670654296875
layer_pp_dim,1,369.54638671875
layer_pp_dim,2,352.3106384277344
layer_pp_dim,2,351.4629821777344
layer_pp_dim,2,350.41162109375
layer_pp_dim,2,350.5144348144531
layer_pp_dim,2,351.7414855957031
layer_pp_dim,2,351.6087951660156
layer_pp_dim,2,350.5273742675781
layer_pp_dim,2,350.55194091796875
layer_pp_dim,2,350.8094177246094
layer_pp_dim,2,350.29241943359375
layer_pp_dim,2,353.5839538574219
layer_pp_dim,2,350.6305847167969
layer_pp_dim,2,352.11639404296875
layer_pp_dim,2,350.6844482421875
layer_pp_dim,2,352.0396423339844
layer_pp_dim,2,351.1851501464844
layer_pp_dim,2,350.39569091796875
layer_pp_dim,2,352.0242004394531
layer_pp_dim,2,351.1014099121094
layer_pp_dim,2,351.6247863769531
layer_pp_dim,2,350.123779296875
layer_pp_dim,2,352.60174560546875
layer_pp_dim,2,347.768310546875
layer_pp_dim,2,351.1300964355469
layer_pp_dim,2,351.9635009765625
layer_pp_dim,2,351.3959655761719
layer_pp_dim,2,351.32568359375
layer_pp_dim,2,350.75872802734375
layer_pp_dim,2,352.0954895019531
layer_pp_dim,2,348.8482360839844
layer_pp_dim,2,350.38690185546875
layer_pp_dim,2,352.9388427734375
layer_pp_dim,2,352.18695068359375
