value_type,layer_index,values
layer_pp_dim,0,1106.3585205078125
layer_pp_dim,0,1106.26025390625
layer_pp_dim,0,1103.78759765625
layer_pp_dim,0,1103.78662109375
layer_pp_dim,0,1101.132080078125
layer_pp_dim,0,1106.3421630859375
layer_pp_dim,0,1097.7437744140625
layer_pp_dim,0,1105.047607421875
layer_pp_dim,0,1101.742919921875
layer_pp_dim,0,1109.2685546875
layer_pp_dim,0,1097.984375
layer_pp_dim,0,1105.9027099609375
layer_pp_dim,0,1105.9205322265625
layer_pp_dim,0,1108.462646484375
layer_pp_dim,0,1102.2059326171875
layer_pp_dim,0,1105.0616455078125
layer_pp_dim,0,1105.2952880859375
layer_pp_dim,0,1105.606689453125
layer_pp_dim,0,1103.287353515625
layer_pp_dim,0,1106.55126953125
layer_pp_dim,1,574.0823364257812
layer_pp_dim,1,574.8417358398438
layer_pp_dim,1,572.9505615234375
layer_pp_dim,1,571.6502685546875
layer_pp_dim,1,570.427490234375
layer_pp_dim,1,574.177978515625
layer_pp_dim,1,563.9273681640625
layer_pp_dim,1,572.535888671875
layer_pp_dim,1,569.2200317382812
layer_pp_dim,1,576.3575439453125
layer_pp_dim,1,564.123291015625
layer_pp_dim,1,574.3626098632812
layer_pp_dim,1,570.9732666015625
layer_pp_dim,1,579.2431030273438
layer_pp_dim,1,568.0565185546875
layer_pp_dim,1,571.9464111328125
layer_pp_dim,1,568.8209228515625
layer_pp_dim,1,574.6253662109375
layer_pp_dim,1,574.1930541992188
layer_pp_dim,1,576.8429565429688
layer_pp_dim,2,564.1541748046875
layer_pp_dim,2,377.5750427246094
layer_pp_dim,2,578.1002197265625
layer_pp_dim,2,317.9794006347656
layer_pp_dim,2,323.0733947753906
layer_pp_dim,2,252.62982177734375
layer_pp_dim,2,286.22955322265625
layer_pp_dim,2,465.7303771972656
layer_pp_dim,2,492.6887512207031
layer_pp_dim,2,499.58367919921875
layer_pp_dim,2,398.7614440917969
layer_pp_dim,2,340.1903076171875
layer_pp_dim,2,301.639892578125
layer_pp_dim,2,514.252197265625
layer_pp_dim,2,475.22540283203125
layer_pp_dim,2,496.5371398925781
layer_pp_dim,2,512.9769897460938
layer_pp_dim,2,394.9517517089844
layer_pp_dim,2,417.1585693359375
layer_pp_dim,2,372.0948791503906
layer_pp_dim,3,138.35623168945312
layer_pp_dim,3,125.06061553955078
layer_pp_dim,3,158.3675994873047
layer_pp_dim,3,126.25616455078125
layer_pp_dim,3,112.52497863769531
layer_pp_dim,3,108.850830078125
layer_pp_dim,3,122.00382995605469
layer_pp_dim,3,111.23823547363281
layer_pp_dim,3,133.53074645996094
layer_pp_dim,3,147.09487915039062
layer_pp_dim,3,124.37556457519531
layer_pp_dim,3,129.93858337402344
layer_pp_dim,3,127.3061752319336
layer_pp_dim,3,99.20800018310547
layer_pp_dim,3,87.22190856933594
layer_pp_dim,3,62.87016296386719
layer_pp_dim,3,163.35411071777344
layer_pp_dim,3,129.1826171875
layer_pp_dim,3,143.35301208496094
layer_pp_dim,3,116.77751159667969
layer_pp_dim,4,162.0157470703125
layer_pp_dim,4,146.65187072753906
layer_pp_dim,4,184.88916015625
layer_pp_dim,4,149.3734130859375
layer_pp_dim,4,133.2757110595703
layer_pp_dim,4,130.54905700683594
layer_pp_dim,4,144.55120849609375
layer_pp_dim,4,131.4152374267578
layer_pp_dim,4,156.1300506591797
layer_pp_dim,4,172.5624237060547
layer_pp_dim,4,146.3836212158203
layer_pp_dim,4,155.00335693359375
layer_pp_dim,4,150.99378967285156
layer_pp_dim,4,117.06155395507812
layer_pp_dim,4,104.24568939208984
layer_pp_dim,4,73.54090118408203
layer_pp_dim,4,191.3339080810547
layer_pp_dim,4,152.32582092285156
layer_pp_dim,4,167.99090576171875
layer_pp_dim,4,138.84776306152344
layer_pp_dim,5,162.7463836669922
layer_pp_dim,5,147.58627319335938
layer_pp_dim,5,185.6009979248047
layer_pp_dim,5,150.3393096923828
layer_pp_dim,5,135.89610290527344
layer_pp_dim,5,132.44387817382812
layer_pp_dim,5,145.33523559570312
layer_pp_dim,5,134.0659942626953
layer_pp_dim,5,157.5479736328125
layer_pp_dim,5,173.75192260742188
layer_pp_dim,5,148.6695556640625
layer_pp_dim,5,157.812255859375
layer_pp_dim,5,151.8155059814453
layer_pp_dim,5,120.00410461425781
layer_pp_dim,5,107.15229797363281
layer_pp_dim,5,76.25140380859375
layer_pp_dim,5,192.34945678710938
layer_pp_dim,5,154.06988525390625
layer_pp_dim,5,168.75962829589844
layer_pp_dim,5,140.94773864746094
layer_pp_dim,6,144.6566619873047
layer_pp_dim,6,131.0117950439453
layer_pp_dim,6,164.72640991210938
layer_pp_dim,6,133.10939025878906
layer_pp_dim,6,120.70752716064453
layer_pp_dim,6,117.17244720458984
layer_pp_dim,6,129.10269165039062
layer_pp_dim,6,119.17898559570312
layer_pp_dim,6,140.27879333496094
layer_pp_dim,6,154.2370147705078
layer_pp_dim,6,132.2521209716797
layer_pp_dim,6,139.4747314453125
layer_pp_dim,6,134.78187561035156
layer_pp_dim,6,106.5497817993164
layer_pp_dim,6,95.20378875732422
layer_pp_dim,6,68.03007507324219
layer_pp_dim,6,171.22802734375
layer_pp_dim,6,136.1576690673828
layer_pp_dim,6,149.7010040283203
layer_pp_dim,6,124.85916900634766
layer_pp_dim,7,152.11973571777344
layer_pp_dim,7,135.5686492919922
layer_pp_dim,7,172.39085388183594
layer_pp_dim,7,136.26622009277344
layer_pp_dim,7,126.74381256103516
layer_pp_dim,7,121.61022186279297
layer_pp_dim,7,133.113525390625
layer_pp_dim,7,125.7215805053711
layer_pp_dim,7,146.43060302734375
layer_pp_dim,7,158.52542114257812
layer_pp_dim,7,139.02528381347656
layer_pp_dim,7,143.07882690429688
layer_pp_dim,7,139.5994110107422
layer_pp_dim,7,113.27074432373047
layer_pp_dim,7,102.533203125
layer_pp_dim,7,74.93244934082031
layer_pp_dim,7,176.82611083984375
layer_pp_dim,7,141.43212890625
layer_pp_dim,7,154.2686309814453
layer_pp_dim,7,129.338134765625
layer_pp_dim,8,172.04295349121094
layer_pp_dim,8,152.9146728515625
layer_pp_dim,8,192.78492736816406
layer_pp_dim,8,152.29991149902344
layer_pp_dim,8,144.5155792236328
layer_pp_dim,8,136.88308715820312
layer_pp_dim,8,148.84434509277344
layer_pp_dim,8,144.2203369140625
layer_pp_dim,8,165.2984161376953
layer_pp_dim,8,178.0948944091797
layer_pp_dim,8,156.1211395263672
layer_pp_dim,8,159.57164001464844
layer_pp_dim,8,155.0314178466797
layer_pp_dim,8,131.01388549804688
layer_pp_dim,8,121.54004669189453
layer_pp_dim,8,88.7155532836914
layer_pp_dim,8,196.34085083007812
layer_pp_dim,8,159.7996368408203
layer_pp_dim,8,171.58883666992188
layer_pp_dim,8,146.30181884765625
layer_pp_dim,9,166.8292694091797
layer_pp_dim,9,148.87608337402344
layer_pp_dim,9,186.26841735839844
layer_pp_dim,9,147.15159606933594
layer_pp_dim,9,140.8472442626953
layer_pp_dim,9,133.56903076171875
layer_pp_dim,9,145.00498962402344
layer_pp_dim,9,140.51846313476562
layer_pp_dim,9,162.48085021972656
layer_pp_dim,9,173.68505859375
layer_pp_dim,9,152.1667938232422
layer_pp_dim,9,154.9381561279297
layer_pp_dim,9,150.71018981933594
layer_pp_dim,9,127.55512237548828
layer_pp_dim,9,118.74007415771484
layer_pp_dim,9,86.96269989013672
layer_pp_dim,9,189.75721740722656
layer_pp_dim,9,155.29904174804688
layer_pp_dim,9,166.5066375732422
layer_pp_dim,9,142.21533203125
layer_pp_dim,10,167.139404296875
layer_pp_dim,10,149.41500854492188
layer_pp_dim,10,186.83880615234375
layer_pp_dim,10,148.1079559326172
layer_pp_dim,10,142.05023193359375
layer_pp_dim,10,135.3653106689453
layer_pp_dim,10,146.30433654785156
layer_pp_dim,10,141.07318115234375
layer_pp_dim,10,163.35903930664062
layer_pp_dim,10,174.06951904296875
layer_pp_dim,10,153.41952514648438
layer_pp_dim,10,155.97572326660156
layer_pp_dim,10,152.08668518066406
layer_pp_dim,10,128.09303283691406
layer_pp_dim,10,119.07715606689453
layer_pp_dim,10,86.94095611572266
layer_pp_dim,10,190.2788848876953
layer_pp_dim,10,156.23843383789062
layer_pp_dim,10,167.63526916503906
layer_pp_dim,10,143.248779296875
layer_pp_dim,11,163.82008361816406
layer_pp_dim,11,146.02786254882812
layer_pp_dim,11,181.30062866210938
layer_pp_dim,11,144.3198699951172
layer_pp_dim,11,138.82510375976562
layer_pp_dim,11,132.11126708984375
layer_pp_dim,11,142.69259643554688
layer_pp_dim,11,138.33567810058594
layer_pp_dim,11,159.11807250976562
layer_pp_dim,11,169.69029235839844
layer_pp_dim,11,150.3328094482422
layer_pp_dim,11,153.00784301757812
layer_pp_dim,11,149.0673370361328
layer_pp_dim,11,125.07476043701172
layer_pp_dim,11,116.31000518798828
layer_pp_dim,11,84.48119354248047
layer_pp_dim,11,185.84983825683594
layer_pp_dim,11,152.54061889648438
layer_pp_dim,11,164.11593627929688
layer_pp_dim,11,140.23399353027344
layer_pp_dim,12,158.62216186523438
layer_pp_dim,12,141.95449829101562
layer_pp_dim,12,175.23641967773438
layer_pp_dim,12,140.59246826171875
layer_pp_dim,12,134.43032836914062
layer_pp_dim,12,128.37010192871094
layer_pp_dim,12,139.0608367919922
